letter1;letter2;frequ
А;А;2
А;Б;12
А;В;35
А;Г;8
А;Д;14
А;Е;7
А;Ж;6
А;З;15
А;И;7
А;Й;7
А;К;19
А;Л;27
А;М;19
А;Н;45
А;О;3
А;П;11
А;Р;26
А;С;31
А;Т;27
А;У;3
А;Ф;1
А;Х;10
А;Ц;6
А;Ч;7
А;Ш;10
А;Щ;1
А;Ы;0
А;Ь;0
А;Э;2
А;Ю;6
А;Я;9
Б;А;5
Б;Б;0
Б;В;0
Б;Г;0
Б;Д;0
Б;Е;9
Б;Ж;1
Б;З;0
Б;И;6
Б;Й;0
Б;К;0
Б;Л;6
Б;М;0
Б;Н;2
Б;О;21
Б;П;0
Б;Р;8
Б;С;1
Б;Т;0
Б;У;6
Б;Ф;0
Б;Х;0
Б;Ц;0
Б;Ч;0
Б;Ш;0
Б;Щ;1
Б;Ы;11
Б;Ь;0
Б;Э;0
Б;Ю;0
Б;Я;2
В;А;35
В;Б;1
В;В;5
В;Г;3
В;Д;3
В;Е;32
В;Ж;0
В;З;2
В;И;17
В;Й;0
В;К;7
В;Л;10
В;М;3
В;Н;9
В;О;58
В;П;6
В;Р;6
В;С;19
В;Т;6
В;У;7
В;Ф;0
В;Х;1
В;Ц;1
В;Ч;2
В;Ш;4
В;Щ;1
В;Ы;18
В;Ь;1
В;Э;2
В;Ю;0
В;Я;3
Г;А;7
Г;Б;0
Г;В;0
Г;Г;0
Г;Д;3
Г;Е;3
Г;Ж;0
Г;З;0
Г;И;5
Г;Й;0
Г;К;1
Г;Л;5
Г;М;0
Г;Н;1
Г;О;50
Г;П;7
Г;Р;0
Г;С;0
Г;Т;2
Г;У;0
Г;Ф;0
Г;Х;0
Г;Ц;0
Г;Ч;0
Г;Ш;0
Г;Щ;0
Г;Ы;0
Г;Ь;0
Г;Э;0
Г;Ю;0
Г;Я;0
Д;А;25
Д;Б;0
Д;В;3
Д;Г;1
Д;Д;1
Д;Е;29
Д;Ж;1
Д;З;1
Д;И;13
Д;Й;0
Д;К;1
Д;Л;5
Д;М;1
Д;Н;13
Д;О;22
Д;П;3
Д;Р;6
Д;С;8
Д;Т;1
Д;У;10
Д;Ф;0
Д;Х;0
Д;Ц;1
Д;Ч;1
Д;Ш;1
Д;Щ;0
Д;Ы;5
Д;Ь;1
Д;Э;0
Д;Ю;0
Д;Я;1
Е;А;2
Е;Б;9
Е;В;18
Е;Г;11
Е;Д;27
Е;Е;7
Е;Ж;5
Е;З;10
Е;И;6
Е;Й;15
Е;К;13
Е;Л;35
Е;М;24
Е;Н;63
Е;О;7
Е;П;16
Е;Р;39
Е;С;37
Е;Т;33
Е;У;3
Е;Ф;1
Е;Х;8
Е;Ц;3
Е;Ч;7
Е;Ш;3
Е;Щ;3
Е;Ы;0
