letter1;letter2;frequ
А;А;0
А;Б;0
А;В;0
А;Г;0
А;Д;0
А;Е;0
А;Ж;0
А;З;0
А;И;0
А;Й;0
А;К;0
А;Л;0
А;М;0
А;Н;0
А;О;0
А;П;0
А;Р;0
А;С;0
А;Т;0
А;У;0
А;Ф;0
А;Х;0
А;Ц;0
А;Ч;0
А;Ш;0
А;Щ;0
А;Ы;0
А;Ь;0
А;Э;0
А;Ю;0
А;Я;0
Б;А;0
Б;Б;0
Б;В;0
Б;Г;0
Б;Д;0
Б;Е;0
Б;Ж;0
Б;З;0
Б;И;0
Б;Й;0
Б;К;0
Б;Л;0
Б;М;0
Б;Н;0
Б;О;0
Б;П;0
Б;Р;0
Б;С;0
Б;Т;0
Б;У;0
Б;Ф;0
Б;Х;0
Б;Ц;0
Б;Ч;0
Б;Ш;0
Б;Щ;0
Б;Ы;0
Б;Ь;0
Б;Э;0
Б;Ю;0
Б;Я;0
В;А;0
В;Б;0
В;В;0
В;Г;0
В;Д;0
В;Е;0
В;Ж;0
В;З;0
В;И;0
В;Й;0
В;К;0
В;Л;0
В;М;0
В;Н;0
В;О;0
В;П;0
В;Р;0
В;С;0
В;Т;0
В;У;0
В;Ф;0
В;Х;0
В;Ц;0
В;Ч;0
В;Ш;0
В;Щ;0
В;Ы;0
В;Ь;0
В;Э;0
В;Ю;0
В;Я;0
Г;А;0
Г;Б;0
Г;В;0
Г;Г;0
Г;Д;0
Г;Е;0
Г;Ж;0
Г;З;0
Г;И;0
Г;Й;0
Г;К;0
Г;Л;0
Г;М;0
Г;Н;0
Г;О;0
Г;П;0
Г;Р;0
Г;С;0
Г;Т;0
Г;У;0
Г;Ф;0
Г;Х;0
Г;Ц;0
Г;Ч;0
Г;Ш;0
Г;Щ;0
Г;Ы;0
Г;Ь;0
Г;Э;0
Г;Ю;0
Г;Я;0
Д;А;0
Д;Б;0
Д;В;0
Д;Г;0
Д;Д;0
Д;Е;0
Д;Ж;0
Д;З;0
Д;И;0
Д;Й;0
Д;К;0
Д;Л;0
Д;М;0
Д;Н;0
Д;О;0
Д;П;0
Д;Р;0
Д;С;0
Д;Т;0
Д;У;0
Д;Ф;0
Д;Х;0
Д;Ц;0
Д;Ч;0
Д;Ш;0
Д;Щ;0
Д;Ы;0
Д;Ь;0
Д;Э;0
Д;Ю;0
Д;Я;0
Е;А;0
Е;Б;0
Е;В;0
Е;Г;0
Е;Д;0
Е;Е;0
Е;Ж;0
Е;З;0
Е;И;0
Е;Й;0
Е;К;0
Е;Л;0
Е;М;0
Е;Н;0
Е;О;0
Е;П;0
Е;Р;0
Е;С;0
Е;Т;0
Е;У;0
Е;Ф;0
Е;Х;0
Е;Ц;0
Е;Ч;0
Е;Ш;0
Е;Щ;0
Е;Ы;0
Е;Ь;0
Е;Э;0
Е;Ю;0
Е;Я;0
Ж;А;0
Ж;Б;0
Ж;В;0
Ж;Г;0
Ж;Д;0
Ж;Е;0
Ж;Ж;0
Ж;З;0
Ж;И;0
Ж;Й;0
Ж;К;0
Ж;Л;0
Ж;М;0
Ж;Н;0
Ж;О;0
Ж;П;0
Ж;Р;0
Ж;С;0
Ж;Т;0
Ж;У;0
Ж;Ф;0
Ж;Х;0
Ж;Ц;0
Ж;Ч;0
Ж;Ш;0
Ж;Щ;0
Ж;Ы;0
Ж;Ь;0
Ж;Э;0
Ж;Ю;0
Ж;Я;0
З;А;0
З;Б;0
З;В;0
З;Г;0
З;Д;0
З;Е;0
З;Ж;0
З;З;0
З;И;0
З;Й;0
З;К;0
З;Л;0
З;М;0
З;Н;0
З;О;0
З;П;0
З;Р;0
З;С;0
З;Т;0
З;У;0
